,bathrooms_text
1 bath,9655
2 baths,4622
3 baths,1249
1.5 baths,1181
2.5 baths,648
1 private bath,564
4 baths,433
3.5 baths,260
1 shared bath,252
5 baths,159
4.5 baths,133
6 baths,78
1.5 shared baths,76
5.5 baths,53
7 baths,39
6.5 baths,38
2 shared baths,38
8 baths,27
0 baths,26
7.5 baths,16
8.5 baths,11
3 shared baths,10
9 baths,9
10 baths,9
Half-bath,9
11 baths,8
12 baths,8
0 shared baths,7
5 shared baths,6
9.5 baths,4
2.5 shared baths,4
10.5 baths,4
3.5 shared baths,3
Shared half-bath,3
11.5 baths,2
13.5 baths,2
13 baths,1
18 baths,1
15.5 baths,1
5.5 shared baths,1
15 baths,1
100 baths,1
6 shared baths,1
14.5 baths,1
14 baths,1
